Date,Open,High,Low,Close,Adj Close,Volume
2017-10-03,345.600006,346.799988,341.600006,346.799988,346.799988,18517760
2017-10-04,348.399994,351.0,348.0,349.399994,349.399994,11708684
2017-10-06,349.399994,353.600006,349.399994,352.0,352.0,13355238
2017-10-09,352.0,353.0,348.600006,349.0,349.0,13455864
2017-10-10,350.799988,352.600006,349.799988,351.200012,351.200012,10823170
2017-10-11,351.200012,352.600006,349.399994,351.600006,351.600006,17642355
2017-10-12,352.0,353.799988,350.200012,350.200012,350.200012,14874040
2017-10-13,347.200012,350.200012,346.399994,349.200012,349.200012,20928347
2017-10-16,352.0,355.600006,350.399994,355.600006,355.600006,17588494
2017-10-17,356.399994,356.399994,353.0,354.799988,354.799988,12885350
2017-10-18,349.600006,354.799988,349.600006,354.600006,354.600006,11974333
2017-10-19,356.200012,356.399994,345.600006,346.200012,346.200012,21617366
2017-10-20,348.0,350.600006,348.0,349.600006,349.600006,14319859
2017-10-23,351.600006,351.600006,347.399994,348.600006,348.600006,9767821
2017-10-24,347.200012,349.600006,345.399994,347.399994,347.399994,15417200
2017-10-25,348.200012,352.600006,348.0,352.0,352.0,12989841
2017-10-26,348.799988,350.600006,346.399994,347.0,347.0,15826872
2017-10-27,348.0,348.600006,346.399994,347.799988,347.799988,16161754
2017-10-30,353.0,353.0,349.0,349.600006,349.600006,16538825
2017-10-31,352.0,352.399994,349.399994,349.799988,349.799988,12706629
2017-11-01,352.0,360.399994,351.600006,360.0,360.0,22026178
2017-11-02,360.799988,364.600006,357.600006,361.799988,361.799988,17931996
2017-11-03,364.600006,368.399994,363.600006,368.0,368.0,16625181
